1-103rd Street,1-96th Street,2327.416174
1-116th Street Columbia University,1-Cathedral Parkway 110th Street,2327.416174
1-125th Street,1-116th Street Columbia University,2327.416174
1-137th Street City College,1-125th Street,2327.416174
1-145th Street,1-137th Street City College,2327.416174
1-14th Street,1-Christopher Street Sheridan Square,2327.416174
1-14th Street,2-14th Street,120000
1-14th Street,3-14th Street,120000
1-14th Street,F-14th Street,120000
1-14th Street,L-Sixth Avenue,120000
1-14th Street,M-14th Street,120000
1-157th Street,1-145th Street,2327.416174
1-168th Street,1-157th Street,2327.416174
1-168th Street,B-lower level,120000
1-168th Street,D-lower level,120000
1-181st Street,1-168th Street,2327.416174
1-18th Street,1-14th Street,2327.416174
1-191st Street,1-181st Street,2327.416174
1-207th Street,1-Dyckman Street,2327.416174
1-215th Street,1-207th Street,2327.416174
1-231st Street,1-Marble Hill 225th Street,2327.416174
1-238th Street,1-231st Street,2327.416174
1-23rd Street,1-18th Street,2327.416174
1-28th Street,1-23rd Street,2327.416174
1-34th Street Penn Station,1-28th Street,2327.416174
1-50th Street,1-Times Square 42nd Street,2327.416174
1-59th Street Columbus Circle,1-50th Street,2327.416174
1-59th Street Columbus Circle,2-59th Street Columbus Circle,120000
1-66th Street Lincoln Center,1-59th Street Columbus Circle,2327.416174
1-72nd Street,1-66th Street Lincoln Center,2327.416174
1-79th Street,1-72nd Street,2327.416174
1-86th Street,1-79th Street,2327.416174
1-96th Street,1-86th Street,2327.416174
1-Canal Street,1-Franklin Street,2327.416174
1-Cathedral Parkway 110th Street,1-103rd Street,2327.416174
1-Chambers Street,1-Cortlandt Street,2327.416174
1-Christopher Street Sheridan Square,1-Houston Street,2327.416174
1-Cortlandt Street,1-Rector Street,2327.416174
1-Dyckman Street,1-191st Street,2327.416174
1-Franklin Street,1-Chambers Street,2327.416174
1-Houston Street,1-Canal Street,2327.416174
1-Marble Hill 225th Street,1-215th Street,2327.416174
1-Rector Street,1-South Ferry,2327.416174
1-South Ferry,1-South Ferry,2327.416174
1-South Ferry,N-Whitehall Street South Ferry,120000
1-South Ferry,R-Whitehall Street South Ferry,120000
1-South Ferry,W-Whitehall Street South Ferry,120000
1-Times Square 42nd Street,1-34th Street Penn Station,2327.416174
1-Times Square 42nd Street,2-Times Square 42nd Street,120000
1-Times Square 42nd Street,3-Times Square 42nd Street,120000
1-Times Square 42nd Street,7-Times Square,120000
1-Times Square 42nd Street,A-42nd Street Port Authority Bus Terminal,120000
1-Times Square 42nd Street,C-42nd Street Port Authority Bus Terminal,120000
1-Times Square 42nd Street,E-42nd Street Port Authority Bus Terminal,120000
1-Times Square 42nd Street,N-Times Square 42nd Street,120000
1-Times Square 42nd Street,Q-Times Square 42nd Street,120000
